dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
yeast,mlp-nosuite,0.6145552560646901,0.8472950647916693,0.204,0.0,0.0,0.6904761904761905,,0.6607142857142857,0.1725067385444744,0.204,0.0,0.0,0.6904761904761905,,0.6607142857142857,0.1725067385444744,0.204,0.0,0.0,0.6904761904761905,,0.6607142857142857,0.1725067385444744,0.204,0.0,0.0,0.6904761904761905,,0.6607142857142857,0.1725067385444744
yeast,mlp-nosuite,0.6145552560646901,0.6780052425850239,0.0,0.0,0.0,0.75,,0.8518518518518519,0.1725067385444744,0.0,0.0,0.0,0.75,,0.8518518518518519,0.1725067385444744,0.0,0.0,0.0,0.75,,0.8518518518518519,0.1725067385444744,0.0,0.0,0.0,0.75,,0.8518518518518519,0.1725067385444744
yeast,mlp-nosuite,0.6145552560646901,0.8531615381686967,0.39156626506024095,0.0,0.0,0.3888888888888889,,0.52,0.2830188679245283,0.39156626506024095,0.0,0.0,0.3888888888888889,,0.52,0.2830188679245283,0.39156626506024095,0.0,0.0,0.3888888888888889,,0.52,0.2830188679245283,0.391566265060241,0.0,0.0,0.3888888888888889,,0.52,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.8126741606934684,0.5961538461538461,0.0,0.0,0.5588235294117647,0.5405405405405406,0.5441176470588235,0.2830188679245283,0.5961538461538461,0.0,0.0,0.5588235294117647,0.5405405405405406,0.5441176470588235,0.2830188679245283,0.5961538461538461,0.0,0.0,0.5588235294117647,0.5405405405405406,0.5441176470588235,0.2830188679245283,0.5961538461538461,0.0,0.0,0.5588235294117647,0.5405405405405406,0.5441176470588235,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.7591371208071217,0.4819277108433735,0.0,0.0,0.6666666666666666,,0.7142857142857143,0.11320754716981132,0.4819277108433735,0.0,0.0,0.6666666666666666,,0.7142857142857143,0.11320754716981132,0.4819277108433735,0.0,0.0,0.6666666666666666,,0.7142857142857143,0.11320754716981132,0.4819277108433735,0.0,0.0,0.6666666666666666,,0.7142857142857143,0.11320754716981132
yeast,mlp-nosuite,0.6145552560646901,0.8422697820980388,0.5054945054945055,0.0,0.0,0.7142857142857143,,0.6949152542372882,0.1725067385444744,0.5054945054945055,0.0,0.0,0.7142857142857143,,0.6949152542372882,0.1725067385444744,0.5054945054945055,0.0,0.0,0.7142857142857143,,0.6949152542372882,0.1725067385444744,0.5054945054945055,0.0,0.0,0.7142857142857143,,0.6949152542372882,0.1725067385444744
yeast,mlp-nosuite,0.6145552560646901,0.5711574748886487,0.5094339622641509,0.0,0.0,0.5666666666666667,,0.5441176470588235,0.2830188679245283,0.5094339622641509,0.0,0.0,0.5666666666666667,,0.5441176470588235,0.2830188679245283,0.5094339622641509,0.0,0.0,0.5666666666666667,,0.5441176470588235,0.2830188679245283,0.5094339622641509,0.0,0.0,0.5666666666666667,,0.5441176470588235,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.7050179764938338,0.5303030303030303,0.0,0.0,0.65,,0.6119402985074627,0.1725067385444744,0.5303030303030303,0.0,0.0,0.65,,0.6119402985074627,0.1725067385444744,0.5303030303030303,0.0,0.0,0.65,,0.6119402985074627,0.1725067385444744,0.5303030303030303,0.0,0.0,0.65,,0.6119402985074627,0.1725067385444744
yeast,mlp-nosuite,0.6145552560646901,0.6334028371688032,0.5116279069767442,0.0,0.0,0.37037037037037035,,0.5846153846153846,0.2830188679245283,0.5116279069767442,0.0,0.0,0.37037037037037035,,0.5846153846153846,0.2830188679245283,0.5116279069767442,0.0,0.0,0.37037037037037035,,0.5846153846153846,0.2830188679245283,0.5116279069767442,0.0,0.0,0.37037037037037035,,0.5846153846153846,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.6318918687370366,0.45454545454545453,0.0,0.0,0.4642857142857143,,0.5294117647058824,0.2830188679245283,0.45454545454545453,0.0,0.0,0.4642857142857143,,0.5294117647058824,0.2830188679245283,0.45454545454545453,0.0,0.0,0.4642857142857143,,0.5294117647058824,0.2830188679245283,0.45454545454545453,0.0,0.0,0.4642857142857143,,0.5294117647058824,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.5997247662892797,0.4394904458598726,0.0,0.0,0.5757575757575758,,0.5,0.32075471698113206,0.4394904458598726,0.0,0.0,0.5757575757575758,,0.5,0.32075471698113206,0.4394904458598726,0.0,0.0,0.5757575757575758,,0.5,0.32075471698113206,0.4394904458598726,0.0,0.0,0.5757575757575758,,0.5,0.32075471698113206
yeast,mlp-nosuite,0.6145552560646901,0.967692652263809,0.5194805194805194,0.0,0.0,0.8292682926829268,,0.813953488372093,0.11320754716981132,0.5194805194805194,0.0,0.0,0.8292682926829268,,0.813953488372093,0.11320754716981132,0.5194805194805194,0.0,0.0,0.8292682926829268,,0.813953488372093,0.11320754716981132,0.5194805194805194,0.0,0.0,0.8292682926829268,,0.8139534883720931,0.11320754716981132
yeast,mlp-nosuite,0.6145552560646901,0.6883692377997135,0.6585365853658537,0.0,0.0,0.7111111111111111,,0.6792452830188679,0.1725067385444744,0.6585365853658537,0.0,0.0,0.7111111111111111,,0.6792452830188679,0.1725067385444744,0.6585365853658537,0.0,0.0,0.7111111111111111,,0.6792452830188679,0.1725067385444744,0.6585365853658537,0.0,0.0,0.7111111111111111,,0.6792452830188679,0.1725067385444744
yeast,mlp-nosuite,0.6145552560646901,0.6317443243900134,0.2,0.0,0.0,0.5,,0.5444444444444444,0.2830188679245283,0.2,0.0,0.0,0.5,,0.5444444444444444,0.2830188679245283,0.2,0.0,0.0,0.5,,0.5444444444444444,0.2830188679245283,0.20000000000000004,0.0,0.0,0.5,,0.5444444444444444,0.2830188679245283
yeast,mlp-nosuite,0.6145552560646901,0.658642626745885,0.33152173913043476,0.0,0.0,0.45454545454545453,,0.46,0.32075471698113206,0.33152173913043476,0.0,0.0,0.45454545454545453,,0.46,0.32075471698113206,0.33152173913043476,0.0,0.0,0.45454545454545453,,0.46,0.32075471698113206,0.33152173913043476,0.0,0.0,0.45454545454545453,,0.46,0.32075471698113206
