dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
yeast,knn-nosuite,0.5929919137466307,0.8,0.9259259259259259,0.0,0.0,0.973404255319149
yeast,knn-nosuite,0.5929919137466307,1.0,0.9318181818181819,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8837209302325582,0.0,0.0,0.9937888198757763
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9939024390243902
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9915966386554622
yeast,knn-nosuite,0.5929919137466307,0.4,0.875,0.0,0.0,0.9960629921259843
yeast,knn-nosuite,0.5929919137466307,0.6,0.8367346938775511,0.0,0.0,0.9185185185185185
yeast,knn-nosuite,0.5929919137466307,0.4,0.9285714285714286,0.0,0.0,0.855595667870036
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,0.0,0.0,0.967741935483871
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,0.9896907216494846
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9955752212389382
yeast,knn-nosuite,0.5929919137466307,0.6,0.8666666666666668,0.0,0.0,0.9840425531914894
yeast,knn-nosuite,0.5929919137466307,0.6,0.962962962962963,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.9830508474576272,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9924812030075187
yeast,knn-nosuite,0.5929919137466307,0.8,0.8985507246376813,0.0,0.0,0.986111111111111
yeast,knn-nosuite,0.5929919137466307,0.8,0.8947368421052632,0.0,0.0,0.975609756097561
yeast,knn-nosuite,0.5929919137466307,0.6,0.9565217391304348,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.8648648648648649
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,0.9947643979057592
yeast,knn-nosuite,0.5929919137466307,0.8,0.9230769230769231,0.0,0.0,0.9380952380952381
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9948186528497409
yeast,knn-nosuite,0.5929919137466307,0.6,0.967741935483871,0.0,0.0,0.8854166666666666
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,0.0,0.0,0.959409594095941
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.875,0.0,0.0,0.9226190476190477
yeast,knn-nosuite,0.5929919137466307,0.8,0.8333333333333334,0.0,0.0,0.9565217391304348
yeast,knn-nosuite,0.5929919137466307,0.8,0.8333333333333334,0.0,0.0,0.988795518207283
yeast,knn-nosuite,0.5929919137466307,0.6,0.7142857142857143,0.0,0.0,0.9429657794676805
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,0.96875
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,0.9815950920245399
yeast,knn-nosuite,0.5929919137466307,0.6,0.9268292682926831,0.0,0.0,0.9542483660130718
yeast,knn-nosuite,0.5929919137466307,0.8,0.9423076923076923,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,0.9487179487179487,0.0,0.0,0.9952153110047848
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,1.0,0.96,0.0,0.0,0.9876543209876543
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,0.994475138121547
yeast,knn-nosuite,0.5929919137466307,0.6,0.8333333333333334,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.82,0.0,0.0,0.9716494845360824
yeast,knn-nosuite,0.5929919137466307,0.6,0.9230769230769231,0.0,0.0,0.8804347826086957
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.8828125
yeast,knn-nosuite,0.5929919137466307,0.6,0.9512195121951219,0.0,0.0,0.9343065693430657
yeast,knn-nosuite,0.5929919137466307,0.6,0.9696969696969697,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.96875,0.0,0.0,0.9864864864864865
yeast,knn-nosuite,0.5929919137466307,0.6,0.6666666666666666,0.0,0.0,0.9548022598870055
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,0.9789915966386553
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,0.990990990990991
yeast,knn-nosuite,0.5929919137466307,0.8,0.9259259259259259,0.0,0.0,0.973404255319149
yeast,knn-nosuite,0.5929919137466307,1.0,0.9318181818181819,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8837209302325582,0.0,0.0,0.9937888198757763
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9939024390243902
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9915966386554622
yeast,knn-nosuite,0.5929919137466307,0.4,0.875,0.0,0.0,0.9960629921259843
yeast,knn-nosuite,0.5929919137466307,0.6,0.8367346938775511,0.0,0.0,0.9185185185185185
yeast,knn-nosuite,0.5929919137466307,0.4,0.9285714285714286,0.0,0.0,0.855595667870036
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,0.0,0.0,0.967741935483871
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,0.9896907216494846
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9955752212389382
yeast,knn-nosuite,0.5929919137466307,0.6,0.8666666666666668,0.0,0.0,0.9840425531914894
yeast,knn-nosuite,0.5929919137466307,0.6,0.962962962962963,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.9830508474576272,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9924812030075187
yeast,knn-nosuite,0.5929919137466307,0.8,0.8985507246376813,0.0,0.0,0.986111111111111
yeast,knn-nosuite,0.5929919137466307,0.8,0.8947368421052632,0.0,0.0,0.975609756097561
yeast,knn-nosuite,0.5929919137466307,0.6,0.9565217391304348,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.8648648648648649
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,0.9947643979057592
yeast,knn-nosuite,0.5929919137466307,0.8,0.9230769230769231,0.0,0.0,0.9380952380952381
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.9948186528497409
yeast,knn-nosuite,0.5929919137466307,0.6,0.967741935483871,0.0,0.0,0.8854166666666666
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,0.0,0.0,0.959409594095941
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.875,0.0,0.0,0.9226190476190477
yeast,knn-nosuite,0.5929919137466307,0.8,0.8333333333333334,0.0,0.0,0.9565217391304348
yeast,knn-nosuite,0.5929919137466307,0.8,0.8333333333333334,0.0,0.0,0.988795518207283
yeast,knn-nosuite,0.5929919137466307,0.6,0.7142857142857143,0.0,0.0,0.9429657794676805
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,0.96875
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,0.0,0.0,0.9815950920245399
yeast,knn-nosuite,0.5929919137466307,0.6,0.9268292682926831,0.0,0.0,0.9542483660130718
yeast,knn-nosuite,0.5929919137466307,0.8,0.9423076923076923,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,0.9487179487179487,0.0,0.0,0.9952153110047848
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,1.0,0.96,0.0,0.0,0.9876543209876543
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.8,0.0,0.0,0.994475138121547
yeast,knn-nosuite,0.5929919137466307,0.6,0.8333333333333334,0.0,0.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.82,0.0,0.0,0.9716494845360824
yeast,knn-nosuite,0.5929919137466307,0.6,0.9230769230769231,0.0,0.0,0.8804347826086957
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.8828125
yeast,knn-nosuite,0.5929919137466307,0.6,0.9512195121951219,0.0,0.0,0.9343065693430657
