dataset,num_and_cat,instance_certainty_clf,ac_score_ablation_acc,ac_score_pure_acc,ac_score_proba_acc,ac_score_shap_acc,model_score,dectree_score_acc,ac_score_explan_acc,ac_score_lore_acc
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.5675675675675675,0.5929919137466307,0.5945945945945946,,0.5945945945945946
yeast,knn-nosuite,0.8,0.5135135135135135,0.0,0.0,0.4864864864864865,0.5929919137466307,0.4594594594594595,,0.5405405405405406
yeast,knn-nosuite,0.8,0.43243243243243246,0.0,0.0,0.43243243243243246,0.5929919137466307,0.5405405405405406,,0.40540540540540543
yeast,knn-nosuite,0.6,0.4594594594594595,0.0,0.0,0.43243243243243246,0.5929919137466307,0.4594594594594595,,0.40540540540540543
yeast,knn-nosuite,1.0,0.6756756756756757,0.0,0.0,0.6486486486486487,0.5929919137466307,0.6486486486486487,,0.7297297297297297
yeast,knn-nosuite,1.0,0.5945945945945946,0.0,0.0,0.5135135135135135,0.5929919137466307,0.5405405405405406,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.6756756756756757,0.5929919137466307,0.7297297297297297,,0.24324324324324326
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.4594594594594595,0.5929919137466307,0.6216216216216216,,0.4864864864864865
yeast,knn-nosuite,0.6,0.43243243243243246,0.0,0.0,0.5405405405405406,0.5929919137466307,0.7027027027027027,,0.6486486486486487
yeast,knn-nosuite,0.6,0.40540540540540543,0.0,0.0,0.40540540540540543,0.5929919137466307,0.5135135135135135,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.6216216216216216,0.5929919137466307,0.7027027027027027,,0.4864864864864865
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.43243243243243246,0.5929919137466307,0.4594594594594595,0.5405405405405406,0.40540540540540543
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.5135135135135135,0.5929919137466307,0.4594594594594595,,0.4864864864864865
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.5405405405405406,0.5929919137466307,0.5675675675675675,,0.5675675675675675
yeast,knn-nosuite,0.6,0.7297297297297297,0.0,0.0,0.7297297297297297,0.5929919137466307,0.8108108108108109,,0.7297297297297297
yeast,knn-nosuite,1.0,0.5945945945945946,0.0,0.0,0.6756756756756757,0.5929919137466307,0.6216216216216216,,0.6756756756756757
yeast,knn-nosuite,1.0,0.7837837837837838,0.0,0.0,0.7027027027027027,0.5929919137466307,0.6756756756756757,,0.6486486486486487
yeast,knn-nosuite,0.8,0.5405405405405406,0.0,0.0,0.6216216216216216,0.5929919137466307,0.5405405405405406,,0.5945945945945946
yeast,knn-nosuite,1.0,0.6756756756756757,0.0,0.0,0.5135135135135135,0.5929919137466307,0.5945945945945946,,0.5675675675675675
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.5135135135135135,0.5929919137466307,0.7027027027027027,,0.40540540540540543
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.6756756756756757,0.5929919137466307,0.7027027027027027,,0.40540540540540543
yeast,knn-nosuite,0.6,0.6486486486486487,0.0,0.0,0.6486486486486487,0.5929919137466307,0.7027027027027027,,0.7297297297297297
yeast,knn-nosuite,0.4,0.3783783783783784,0.0,0.0,0.1891891891891892,0.5929919137466307,0.43243243243243246,,0.5405405405405406
yeast,knn-nosuite,0.6,0.7567567567567568,0.0,0.0,0.5675675675675675,0.5929919137466307,0.7297297297297297,,0.5675675675675675
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.6216216216216216,0.5929919137466307,0.6216216216216216,,0.5945945945945946
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.35135135135135137,0.5929919137466307,0.5135135135135135,,0.5675675675675675
yeast,knn-nosuite,0.8,0.8648648648648649,0.0,0.0,0.7837837837837838,0.5929919137466307,0.8648648648648649,,0.8648648648648649
yeast,knn-nosuite,0.6,0.6216216216216216,0.0,0.0,0.6486486486486487,0.5929919137466307,0.6486486486486487,,0.5945945945945946
yeast,knn-nosuite,0.6,0.7027027027027027,0.0,0.0,0.6486486486486487,0.5929919137466307,0.7297297297297297,0.40540540540540543,0.7567567567567568
yeast,knn-nosuite,0.6,0.4864864864864865,0.0,0.0,0.5675675675675675,0.5929919137466307,0.6216216216216216,,0.32432432432432434
yeast,knn-nosuite,0.6,0.7297297297297297,0.0,0.0,0.7027027027027027,0.5929919137466307,0.7837837837837838,,0.6756756756756757
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.4864864864864865,0.5929919137466307,0.6756756756756757,,0.5405405405405406
yeast,knn-nosuite,0.8,0.4594594594594595,0.0,0.0,0.5405405405405406,0.5929919137466307,0.5945945945945946,,0.4864864864864865
yeast,knn-nosuite,0.8,0.40540540540540543,0.0,0.0,0.4594594594594595,0.5929919137466307,0.43243243243243246,,0.35135135135135137
yeast,knn-nosuite,0.6,0.43243243243243246,0.0,0.0,0.2702702702702703,0.5929919137466307,0.40540540540540543,,0.2702702702702703
yeast,knn-nosuite,0.6,0.7027027027027027,0.0,0.0,0.5135135135135135,0.5929919137466307,0.7837837837837838,,0.5405405405405406
yeast,knn-nosuite,0.8,0.7567567567567568,0.0,0.0,0.6756756756756757,0.5929919137466307,0.7567567567567568,,0.7567567567567568
yeast,knn-nosuite,0.6,0.43243243243243246,0.0,0.0,0.40540540540540543,0.5929919137466307,0.4594594594594595,,0.40540540540540543
yeast,knn-nosuite,0.8,0.6216216216216216,0.0,0.0,0.7027027027027027,0.5929919137466307,0.7297297297297297,,0.5945945945945946
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.4864864864864865,0.5929919137466307,0.6216216216216216,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.5405405405405406,0.5929919137466307,0.6216216216216216,,0.5135135135135135
yeast,knn-nosuite,0.4,0.5135135135135135,0.0,0.0,0.43243243243243246,0.5929919137466307,0.5135135135135135,,0.40540540540540543
yeast,knn-nosuite,0.6,0.40540540540540543,0.0,0.0,0.43243243243243246,0.5929919137466307,0.6486486486486487,,0.5945945945945946
yeast,knn-nosuite,0.6,0.6756756756756757,0.0,0.0,0.43243243243243246,0.5929919137466307,0.7297297297297297,,0.7567567567567568
yeast,knn-nosuite,0.8,0.8108108108108109,0.0,0.0,0.7027027027027027,0.5929919137466307,0.8378378378378378,,0.4594594594594595
yeast,knn-nosuite,0.8,0.5405405405405406,0.0,0.0,0.43243243243243246,0.5929919137466307,0.6216216216216216,,0.4864864864864865
yeast,knn-nosuite,0.6,0.43243243243243246,0.0,0.0,0.4594594594594595,0.5929919137466307,0.5135135135135135,,0.4864864864864865
yeast,knn-nosuite,1.0,0.7027027027027027,0.0,0.0,0.4864864864864865,0.5929919137466307,0.7027027027027027,,0.6756756756756757
yeast,knn-nosuite,0.8,0.7297297297297297,0.0,0.0,0.7567567567567568,0.5929919137466307,0.7027027027027027,,0.5675675675675675
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.5675675675675675,0.5929919137466307,0.5945945945945946,,0.5945945945945946
yeast,knn-nosuite,0.8,0.5135135135135135,0.0,0.0,0.4864864864864865,0.5929919137466307,0.4594594594594595,,0.5405405405405406
yeast,knn-nosuite,0.8,0.43243243243243246,0.0,0.0,0.43243243243243246,0.5929919137466307,0.5405405405405406,,0.40540540540540543
yeast,knn-nosuite,0.6,0.4594594594594595,0.0,0.0,0.43243243243243246,0.5929919137466307,0.4594594594594595,,0.40540540540540543
yeast,knn-nosuite,1.0,0.6756756756756757,0.0,0.0,0.6486486486486487,0.5929919137466307,0.6486486486486487,,0.7297297297297297
yeast,knn-nosuite,1.0,0.5945945945945946,0.0,0.0,0.5135135135135135,0.5929919137466307,0.5405405405405406,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5945945945945946,0.0,0.0,0.6756756756756757,0.5929919137466307,0.7297297297297297,,0.24324324324324326
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.4594594594594595,0.5929919137466307,0.6216216216216216,,0.4864864864864865
yeast,knn-nosuite,0.6,0.43243243243243246,0.0,0.0,0.5405405405405406,0.5929919137466307,0.7027027027027027,,0.6486486486486487
yeast,knn-nosuite,0.6,0.40540540540540543,0.0,0.0,0.40540540540540543,0.5929919137466307,0.5135135135135135,,0.4594594594594595
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.6216216216216216,0.5929919137466307,0.7027027027027027,,0.4864864864864865
yeast,knn-nosuite,0.6,0.5405405405405406,0.0,0.0,0.43243243243243246,0.5929919137466307,0.4594594594594595,0.5405405405405406,0.40540540540540543
yeast,knn-nosuite,0.6,0.5675675675675675,0.0,0.0,0.5135135135135135,0.5929919137466307,0.4594594594594595,,0.4864864864864865
yeast,knn-nosuite,0.4,0.4864864864864865,0.0,0.0,0.5405405405405406,0.5929919137466307,0.5675675675675675,,0.5675675675675675
yeast,knn-nosuite,0.6,0.7297297297297297,0.0,0.0,0.7297297297297297,0.5929919137466307,0.8108108108108109,,0.7297297297297297
yeast,knn-nosuite,1.0,0.5945945945945946,0.0,0.0,0.6756756756756757,0.5929919137466307,0.6216216216216216,,0.6756756756756757
yeast,knn-nosuite,1.0,0.7837837837837838,0.0,0.0,0.7027027027027027,0.5929919137466307,0.6756756756756757,,0.6486486486486487
rmftsa,knn-nosuite,0.4,0.52,0.0,0.0,0.48,0.53125,0.56,0.4,0.36
rmftsa,knn-nosuite,0.4,0.56,0.0,0.0,0.56,0.53125,0.44,0.48,0.36
rmftsa,knn-nosuite,0.4,0.36,0.0,0.0,0.36,0.53125,0.16,0.4,0.2
rmftsa,knn-nosuite,0.4,0.56,0.0,0.0,0.52,0.53125,0.4,0.52,0.4
rmftsa,knn-nosuite,0.6,0.76,0.0,0.0,0.6,0.53125,0.76,0.56,0.76
rmftsa,knn-nosuite,0.8,0.76,0.0,0.0,0.76,0.53125,0.76,0.76,0.68
rmftsa,knn-nosuite,0.4,0.56,0.0,0.0,0.48,0.53125,0.48,0.48,0.48
rmftsa,knn-nosuite,1.0,0.56,0.0,0.0,0.52,0.53125,0.52,0.52,0.52
