dataset,num_and_cat,time_lux_ablation,time_lux_pure,time_lux_proba,time_lux_shap,time_explan,time_lore,time_anchor
banknote-authentication,knn-nosuite,0.05250144004821777,0.0,0.0,19.971375703811646,0.5661575794219971,5.684229135513306,0.13821911811828613
banknote-authentication,knn-nosuite,0.05367636680603027,0.0,0.0,13.118023872375488,0.7653563022613525,5.6256797313690186,0.13132238388061523
banknote-authentication,knn-nosuite,0.052875518798828125,0.0,0.0,17.097774267196655,0.6863794326782227,5.8207361698150635,0.15503883361816406
banknote-authentication,knn-nosuite,0.07440733909606934,0.0,0.0,17.218018531799316,0.8212456703186035,5.802971124649048,0.15955138206481934
banknote-authentication,knn-nosuite,0.08103704452514648,0.0,0.0,12.031164407730103,0.585129976272583,5.782130718231201,0.14154410362243652
banknote-authentication,knn-nosuite,0.07292485237121582,0.0,0.0,11.232930660247803,0.7911300659179688,5.667658805847168,0.12312054634094238
banknote-authentication,knn-nosuite,0.06322145462036133,0.0,0.0,15.460320472717285,0.5949404239654541,5.98448634147644,0.14099717140197754
banknote-authentication,knn-nosuite,0.05452251434326172,0.0,0.0,12.712984085083008,0.866769552230835,5.671377658843994,0.11742258071899414
banknote-authentication,knn-nosuite,0.06562685966491699,0.0,0.0,9.591933965682983,1.2200744152069092,5.647709131240845,0.14468717575073242
banknote-authentication,knn-nosuite,0.05293703079223633,0.0,0.0,11.296948909759521,0.7628257274627686,5.833291053771973,0.1237187385559082
banknote-authentication,knn-nosuite,0.06483912467956543,0.0,0.0,7.937144994735718,0.809537410736084,5.730116367340088,0.22556424140930176
banknote-authentication,knn-nosuite,0.054007530212402344,0.0,0.0,10.880680561065674,0.8868377208709717,5.93100643157959,0.16057777404785156
banknote-authentication,knn-nosuite,0.058001041412353516,0.0,0.0,12.231363773345947,0.6529593467712402,5.9855568408966064,0.14011526107788086
banknote-authentication,knn-nosuite,0.054268598556518555,0.0,0.0,21.680646657943726,0.6143207550048828,5.843900203704834,0.1564021110534668
banknote-authentication,knn-nosuite,0.062042236328125,0.0,0.0,14.197490930557251,0.8891644477844238,5.597416877746582,0.13299965858459473
banknote-authentication,knn-nosuite,0.06294107437133789,0.0,0.0,12.069505453109741,0.7044916152954102,5.7832465171813965,0.14093995094299316
banknote-authentication,knn-nosuite,0.0657806396484375,0.0,0.0,12.188621997833252,0.8950948715209961,5.654939413070679,0.13040924072265625
banknote-authentication,knn-nosuite,0.07641196250915527,0.0,0.0,9.671908140182495,0.754957914352417,5.674231052398682,0.21550941467285156
banknote-authentication,knn-nosuite,0.05208468437194824,0.0,0.0,13.771296977996826,0.9331326484680176,5.738863468170166,0.12998723983764648
banknote-authentication,knn-nosuite,0.06159162521362305,0.0,0.0,12.96407413482666,0.662663459777832,5.7146100997924805,0.14875507354736328
banknote-authentication,knn-nosuite,0.07045912742614746,0.0,0.0,8.809803247451782,0.7364201545715332,5.6794350147247314,0.1937236785888672
banknote-authentication,knn-nosuite,0.07632112503051758,0.0,0.0,14.846927881240845,0.8595130443572998,5.646700620651245,0.18060874938964844
banknote-authentication,knn-nosuite,0.052963972091674805,0.0,0.0,9.719057321548462,1.2007343769073486,5.662683010101318,0.12703561782836914
banknote-authentication,knn-nosuite,0.05470919609069824,0.0,0.0,17.66809105873108,0.7354488372802734,5.861471652984619,0.1182255744934082
banknote-authentication,knn-nosuite,0.07091712951660156,0.0,0.0,10.834997177124023,0.5607507228851318,5.812636375427246,0.2810845375061035
banknote-authentication,knn-nosuite,0.06846261024475098,0.0,0.0,12.786486148834229,0.5742177963256836,5.69940972328186,0.13129806518554688
banknote-authentication,knn-nosuite,0.06341004371643066,0.0,0.0,12.380362272262573,1.2471814155578613,5.663398265838623,0.1411600112915039
banknote-authentication,knn-nosuite,0.05545544624328613,0.0,0.0,14.782469511032104,0.8197152614593506,5.645122289657593,0.14497637748718262
banknote-authentication,knn-nosuite,0.06544256210327148,0.0,0.0,14.455815553665161,0.7244663238525391,5.740196228027344,0.13733458518981934
banknote-authentication,knn-nosuite,0.07992696762084961,0.0,0.0,18.39763903617859,0.6055068969726562,5.863406658172607,0.14114713668823242
banknote-authentication,knn-nosuite,0.05323529243469238,0.0,0.0,19.636026620864868,0.6521453857421875,5.70616888999939,0.13828229904174805
banknote-authentication,knn-nosuite,0.06835317611694336,0.0,0.0,13.279849767684937,0.8706626892089844,5.877961874008179,0.14621829986572266
banknote-authentication,knn-nosuite,0.0787954330444336,0.0,0.0,11.001832962036133,0.7518951892852783,5.7700817584991455,0.2055654525756836
banknote-authentication,knn-nosuite,0.05477428436279297,0.0,0.0,18.853604793548584,0.4687798023223877,5.6001365184783936,0.12859654426574707
banknote-authentication,knn-nosuite,0.06563282012939453,0.0,0.0,22.65323257446289,0.7007672786712646,5.78096342086792,0.1336534023284912
banknote-authentication,knn-nosuite,0.05259442329406738,0.0,0.0,18.562842845916748,0.7921504974365234,5.744139194488525,0.11356759071350098
banknote-authentication,knn-nosuite,0.05416250228881836,0.0,0.0,14.669381380081177,0.8246400356292725,5.749464273452759,0.12892508506774902
banknote-authentication,knn-nosuite,0.06773948669433594,0.0,0.0,20.83123230934143,0.5537612438201904,5.793624639511108,0.18685579299926758
banknote-authentication,knn-nosuite,0.053917884826660156,0.0,0.0,12.503498315811157,0.6451752185821533,5.62473464012146,0.1353611946105957
banknote-authentication,knn-nosuite,0.05431032180786133,0.0,0.0,18.596034049987793,0.542994499206543,5.799901723861694,0.1394052505493164
banknote-authentication,knn-nosuite,0.0555727481842041,0.0,0.0,15.28462815284729,0.9125881195068359,5.682658672332764,0.19143342971801758
banknote-authentication,knn-nosuite,0.0775599479675293,0.0,0.0,8.594349145889282,0.6774492263793945,5.704418420791626,0.1282672882080078
banknote-authentication,knn-nosuite,0.07352852821350098,0.0,0.0,9.451676368713379,0.7270689010620117,5.865952968597412,0.2265028953552246
banknote-authentication,knn-nosuite,0.07992076873779297,0.0,0.0,7.028960466384888,0.6403582096099854,5.768616199493408,0.22922396659851074
banknote-authentication,knn-nosuite,0.05132484436035156,0.0,0.0,17.279706954956055,0.9385905265808105,6.097844362258911,0.18665075302124023
banknote-authentication,knn-nosuite,0.06574440002441406,0.0,0.0,9.927218914031982,0.7314150333404541,5.602488994598389,0.12930750846862793
banknote-authentication,knn-nosuite,0.05240225791931152,0.0,0.0,17.93709111213684,0.7982861995697021,5.675262689590454,0.11880707740783691
banknote-authentication,knn-nosuite,0.0654449462890625,0.0,0.0,12.593530178070068,0.8033788204193115,5.902277708053589,0.1701822280883789
banknote-authentication,knn-nosuite,0.05517101287841797,0.0,0.0,14.016574382781982,0.6953973770141602,5.631493806838989,0.12558603286743164
banknote-authentication,knn-nosuite,0.07951521873474121,0.0,0.0,11.018014192581177,0.4979872703552246,5.152581453323364,0.211073637008667
