dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138277940335751,0.22883492727939334,0.5753495567323139,0.23875764887358078,0.002965856481481481,0.03807746083501784,0.003510442077705718,0.05739444433104352,0.41852096709796727,0.22531833186197092,0.6565905079232859,0.24151493089286474,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2190780688700791,0.3077664929022779,0.7176,0.29571986744214535,0.22201803135285963,0.31738643867032373,0.7612,0.27708222606295047,0.2072002377796414,0.3107502585418205,0.646,0.32323984902855035,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16686467100896202,0.2116173246871195,0.482,0.47882773520338184,0.2706047735097315,0.18766301285339532,0.8057333333333334,0.2584019607768744,0.14146216395442965,0.20493212172785508,0.3769333333333333,0.464792828401357,0.0,0.0,0.0,0.0
volcanoes-a3,knn-nosuite,0.5059287531246287,0.04233159147528468,0.0344,0.16396129624599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774047384208328,0.10059175213703837,0.4396,0.48285799154616876,0.6506849617007749,0.0810180142176682,0.8517333333333332,0.23798995310260007,0.5518453455150536,0.09060184109888389,0.2804,0.42163472342775565,0.0,0.0,0.0,0.0
volcanoes-a4,knn-nosuite,0.7410793092049552,0.06701590147637673,0.0192,0.12484756928172673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384956319710356,0.13303073032368182,0.3894666666666666,0.4483601528533358,0.6634079006708505,0.12453413667382844,0.6996,0.276091482423248,0.7526144441013324,0.1132003516417865,0.30706666666666665,0.43042492699398555,0.0,0.0,0.0,0.0
volcanoes-e1,knn-nosuite,0.1297817250250648,0.21782273878083167,0.006143667296786389,0.07346453539526435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765523146820782,0.3251244200025785,0.4062696912413359,0.45465984471865295,0.3397455165621329,0.30512896791552935,0.6313799621928167,0.32197792210771886,0.2898797235747677,0.3081210304262735,0.30812854442344045,0.4352595030302228,0.0,0.0,0.0,0.0
volcanoes-e2,knn-nosuite,0.0036296683429563165,0.05448822800004276,0.0076,0.08568687180659591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11409050372327524,0.19039374848068186,0.3196,0.45415398269749874,0.0,0.0,0.0,0.0,0.1063569411974882,0.18290619183163898,0.2925333333333333,0.4055473996135758,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138277940335751,0.22883492727939334,0.5753495567323139,0.23875764887358078,0.002965856481481481,0.03807746083501784,0.003510442077705718,0.05739444433104352,0.41852096709796727,0.22531833186197092,0.6565905079232859,0.24151493089286474,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2190780688700791,0.3077664929022779,0.7176,0.29571986744214535,0.22201803135285963,0.31738643867032373,0.7612,0.27708222606295047,0.2072002377796414,0.3107502585418205,0.646,0.32323984902855035,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16686467100896202,0.2116173246871195,0.482,0.47882773520338184,0.2706047735097315,0.18766301285339532,0.8057333333333334,0.2584019607768744,0.14146216395442965,0.20493212172785508,0.3769333333333333,0.464792828401357,0.0,0.0,0.0,0.0
volcanoes-a3,knn-nosuite,0.5059287531246287,0.04233159147528468,0.0344,0.16396129624599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774047384208328,0.10059175213703837,0.4396,0.48285799154616876,0.6506849617007749,0.0810180142176682,0.8517333333333332,0.23798995310260007,0.5518453455150536,0.09060184109888389,0.2804,0.42163472342775565,0.0,0.0,0.0,0.0
volcanoes-a4,knn-nosuite,0.7410793092049552,0.06701590147637673,0.0192,0.12484756928172673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384956319710356,0.13303073032368182,0.3894666666666666,0.4483601528533358,0.6634079006708505,0.12453413667382844,0.6996,0.276091482423248,0.7526144441013324,0.1132003516417865,0.30706666666666665,0.43042492699398555,0.0,0.0,0.0,0.0
volcanoes-e1,knn-nosuite,0.1297817250250648,0.21782273878083167,0.006143667296786389,0.07346453539526435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765523146820782,0.3251244200025785,0.4062696912413359,0.45465984471865295,0.3397455165621329,0.30512896791552935,0.6313799621928167,0.32197792210771886,0.2898797235747677,0.3081210304262735,0.30812854442344045,0.4352595030302228,0.0,0.0,0.0,0.0
volcanoes-e2,knn-nosuite,0.0036296683429563165,0.05448822800004276,0.0076,0.08568687180659591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11409050372327524,0.19039374848068186,0.3196,0.45415398269749874,0.0,0.0,0.0,0.0,0.1063569411974882,0.18290619183163898,0.2925333333333333,0.4055473996135758,0.0,0.0,0.0,0.0
volcanoes-e3,knn-nosuite,0.009669670047290533,0.08008062361854615,0.022,0.1404136745477448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643737169726948,0.20934568511811763,0.7416,0.43775499997144524,0.12471356223558637,0.16822656930092594,0.3661333333333333,0.3782881676417831,0.06477867626206153,0.16118073776057382,0.1753333333333333,0.36281675815761316,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138277940335751,0.22883492727939334,0.5753495567323139,0.23875764887358078,0.002965856481481481,0.03807746083501784,0.003510442077705718,0.05739444433104352,0.41852096709796727,0.22531833186197092,0.6565905079232859,0.24151493089286474,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2190780688700791,0.3077664929022779,0.7176,0.29571986744214535,0.22201803135285963,0.31738643867032373,0.7612,0.27708222606295047,0.2072002377796414,0.3107502585418205,0.646,0.32323984902855035,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16686467100896202,0.2116173246871195,0.482,0.47882773520338184,0.2706047735097315,0.18766301285339532,0.8057333333333334,0.2584019607768744,0.14146216395442965,0.20493212172785508,0.3769333333333333,0.464792828401357,0.0,0.0,0.0,0.0
volcanoes-a3,knn-nosuite,0.5059287531246287,0.04233159147528468,0.0344,0.16396129624599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774047384208328,0.10059175213703837,0.4396,0.48285799154616876,0.6506849617007749,0.0810180142176682,0.8517333333333332,0.23798995310260007,0.5518453455150536,0.09060184109888389,0.2804,0.42163472342775565,0.0,0.0,0.0,0.0
volcanoes-a4,knn-nosuite,0.7410793092049552,0.06701590147637673,0.0192,0.12484756928172673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384956319710356,0.13303073032368182,0.3894666666666666,0.4483601528533358,0.6634079006708505,0.12453413667382844,0.6996,0.276091482423248,0.7526144441013324,0.1132003516417865,0.30706666666666665,0.43042492699398555,0.0,0.0,0.0,0.0
volcanoes-e1,knn-nosuite,0.1297817250250648,0.21782273878083167,0.006143667296786389,0.07346453539526435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765523146820782,0.3251244200025785,0.4062696912413359,0.45465984471865295,0.3397455165621329,0.30512896791552935,0.6313799621928167,0.32197792210771886,0.2898797235747677,0.3081210304262735,0.30812854442344045,0.4352595030302228,0.0,0.0,0.0,0.0
volcanoes-e2,knn-nosuite,0.0036296683429563165,0.05448822800004276,0.0076,0.08568687180659591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11409050372327524,0.19039374848068186,0.3196,0.45415398269749874,0.0,0.0,0.0,0.0,0.1063569411974882,0.18290619183163898,0.2925333333333333,0.4055473996135758,0.0,0.0,0.0,0.0
volcanoes-e3,knn-nosuite,0.009669670047290533,0.08008062361854615,0.022,0.1404136745477448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643737169726948,0.20934568511811763,0.7416,0.43775499997144524,0.12471356223558637,0.16822656930092594,0.3661333333333333,0.3782881676417831,0.06477867626206153,0.16118073776057382,0.1753333333333333,0.36281675815761316,0.0,0.0,0.0,0.0
volcanoes-e4,knn-nosuite,0.0025292583046240876,0.04832284693067815,0.004074241738343142,0.06004122555476457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10453056400571796,0.1857302868880143,0.3248830541723253,0.4390053937971105,0.003582463215524955,0.05267805322918704,0.006337709370755998,0.07495667095705341,0.0962889640986045,0.18904332795128154,0.25033952014486194,0.41790205920998785,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138277940335751,0.22883492727939334,0.5753495567323139,0.23875764887358078,0.002965856481481481,0.03807746083501784,0.003510442077705718,0.05739444433104352,0.41852096709796727,0.22531833186197092,0.6565905079232859,0.24151493089286474,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2190780688700791,0.3077664929022779,0.7176,0.29571986744214535,0.22201803135285963,0.31738643867032373,0.7612,0.27708222606295047,0.2072002377796414,0.3107502585418205,0.646,0.32323984902855035,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16686467100896202,0.2116173246871195,0.482,0.47882773520338184,0.2706047735097315,0.18766301285339532,0.8057333333333334,0.2584019607768744,0.14146216395442965,0.20493212172785508,0.3769333333333333,0.464792828401357,0.0,0.0,0.0,0.0
volcanoes-a3,knn-nosuite,0.5059287531246287,0.04233159147528468,0.0344,0.16396129624599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774047384208328,0.10059175213703837,0.4396,0.48285799154616876,0.6506849617007749,0.0810180142176682,0.8517333333333332,0.23798995310260007,0.5518453455150536,0.09060184109888389,0.2804,0.42163472342775565,0.0,0.0,0.0,0.0
volcanoes-a4,knn-nosuite,0.7410793092049552,0.06701590147637673,0.0192,0.12484756928172673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384956319710356,0.13303073032368182,0.3894666666666666,0.4483601528533358,0.6634079006708505,0.12453413667382844,0.6996,0.276091482423248,0.7526144441013324,0.1132003516417865,0.30706666666666665,0.43042492699398555,0.0,0.0,0.0,0.0
volcanoes-e1,knn-nosuite,0.1297817250250648,0.21782273878083167,0.006143667296786389,0.07346453539526435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765523146820782,0.3251244200025785,0.4062696912413359,0.45465984471865295,0.3397455165621329,0.30512896791552935,0.6313799621928167,0.32197792210771886,0.2898797235747677,0.3081210304262735,0.30812854442344045,0.4352595030302228,0.0,0.0,0.0,0.0
volcanoes-e2,knn-nosuite,0.0036296683429563165,0.05448822800004276,0.0076,0.08568687180659591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11409050372327524,0.19039374848068186,0.3196,0.45415398269749874,0.0,0.0,0.0,0.0,0.1063569411974882,0.18290619183163898,0.2925333333333333,0.4055473996135758,0.0,0.0,0.0,0.0
volcanoes-e3,knn-nosuite,0.009669670047290533,0.08008062361854615,0.022,0.1404136745477448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643737169726948,0.20934568511811763,0.7416,0.43775499997144524,0.12471356223558637,0.16822656930092594,0.3661333333333333,0.3782881676417831,0.06477867626206153,0.16118073776057382,0.1753333333333333,0.36281675815761316,0.0,0.0,0.0,0.0
volcanoes-e4,knn-nosuite,0.0025292583046240876,0.04832284693067815,0.004074241738343142,0.06004122555476457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10453056400571796,0.1857302868880143,0.3248830541723253,0.4390053937971105,0.003582463215524955,0.05267805322918704,0.006337709370755998,0.07495667095705341,0.0962889640986045,0.18904332795128154,0.25033952014486194,0.41790205920998785,0.0,0.0,0.0,0.0
volcanoes-e5,knn-nosuite,0.5018908314139947,0.02718838861716456,0.008607524642510066,0.08548154353749117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502039848109156,0.09255004427452573,0.2758572816881855,0.42822655078649347,0.0,0.0,0.0,0.0,0.5518930325763338,0.0941630026425266,0.29168402054699427,0.429785324301102,0.0,0.0,0.0,0.0
