dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
yeast,knn-nosuite,0.5929919137466307,0.4,6.0,3.0,0.0,0.0,5.0,,7.0,4.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,4.0,,7.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.4,5.0,4.0,0.0,0.0,0.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.4,6.0,3.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,2.0,,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,5.0,2.0,0.0,0.0,5.0,6.0,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,6.0,,5.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,2.0,0.0,0.0,4.0,,4.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,1.0,0.0,0.0,4.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,1.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,5.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,3.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,5.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,3.0,,2.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,4.0,,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,5.0,0.0,0.0,4.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,1.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.4,7.0,5.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,6.0,6.0,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,6.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,7.0,1.0,0.0,0.0,5.0,,5.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,7.0,5.0,0.0,0.0,4.0,7.0,6.0,4.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,6.0,,6.0,4.0
yeast,knn-nosuite,0.5929919137466307,1.0,6.0,4.0,0.0,0.0,5.0,,5.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,3.0,,4.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,4.0,0.0,0.0,5.0,,6.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,3.0,,5.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,5.0,4.0,0.0,0.0,4.0,,4.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,5.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,1.0,4.0,2.0,0.0,0.0,3.0,,4.0,8.0
yeast,knn-nosuite,0.5929919137466307,1.0,4.0,3.0,0.0,0.0,4.0,,3.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,5.0,,6.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,1.0,0.0,0.0,6.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,2.0,0.0,0.0,5.0,,5.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,6.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,5.0,4.0,0.0,0.0,6.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,3.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,2.0,0.0,0.0,3.0,,2.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.4,7.0,3.0,0.0,0.0,4.0,,6.0,7.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,4.0,,5.0,6.0
yeast,knn-nosuite,0.5929919137466307,1.0,5.0,2.0,0.0,0.0,3.0,,4.0,6.0
yeast,knn-nosuite,0.5929919137466307,1.0,5.0,2.0,0.0,0.0,2.0,,2.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,2.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,1.0,4.0,1.0,0.0,0.0,2.0,,4.0,4.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,4.0,0.0,0.0,6.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,2.0,0.0,0.0,4.0,,4.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,1.0,0.0,0.0,5.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.4,6.0,3.0,0.0,0.0,5.0,,7.0,4.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,4.0,,7.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.4,5.0,4.0,0.0,0.0,0.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.4,6.0,3.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,2.0,,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,5.0,2.0,0.0,0.0,5.0,6.0,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,6.0,,5.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,2.0,0.0,0.0,4.0,,4.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,1.0,0.0,0.0,4.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,1.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,5.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,3.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,5.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,3.0,,2.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,4.0,,3.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,5.0,0.0,0.0,4.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,1.0,0.0,0.0,6.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.4,7.0,5.0,0.0,0.0,4.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,5.0,0.0,0.0,6.0,6.0,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,6.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,7.0,1.0,0.0,0.0,5.0,,5.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,7.0,5.0,0.0,0.0,4.0,7.0,6.0,4.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,6.0,,6.0,4.0
yeast,knn-nosuite,0.5929919137466307,1.0,6.0,4.0,0.0,0.0,5.0,,5.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.8,6.0,3.0,0.0,0.0,3.0,,4.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,4.0,0.0,0.0,5.0,,6.0,6.0
yeast,knn-nosuite,0.5929919137466307,0.8,4.0,1.0,0.0,0.0,3.0,,5.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.8,5.0,4.0,0.0,0.0,4.0,,4.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,3.0,0.0,0.0,5.0,,6.0,8.0
yeast,knn-nosuite,0.5929919137466307,1.0,4.0,2.0,0.0,0.0,3.0,,4.0,8.0
yeast,knn-nosuite,0.5929919137466307,1.0,4.0,3.0,0.0,0.0,4.0,,3.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,5.0,,6.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.6,6.0,1.0,0.0,0.0,6.0,,6.0,3.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,2.0,0.0,0.0,5.0,,5.0,5.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,6.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,5.0,4.0,0.0,0.0,6.0,,5.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,3.0,0.0,0.0,5.0,,6.0,2.0
yeast,knn-nosuite,0.5929919137466307,0.6,4.0,2.0,0.0,0.0,3.0,,2.0,8.0
yeast,knn-nosuite,0.5929919137466307,0.4,7.0,3.0,0.0,0.0,4.0,,6.0,7.0
yeast,knn-nosuite,0.5929919137466307,0.6,7.0,4.0,0.0,0.0,4.0,,5.0,6.0
yeast,knn-nosuite,0.5929919137466307,1.0,5.0,2.0,0.0,0.0,3.0,,4.0,6.0
yeast,knn-nosuite,0.5929919137466307,1.0,5.0,2.0,0.0,0.0,2.0,,2.0,8.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.6,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,0.4,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0
rmftsa,knn-nosuite,0.53125,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0
rmftsa,knn-nosuite,0.53125,0.8,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
