dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.4,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.8,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.4,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,0.6,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,knn-nosuite,0.5929919137466307,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
rmftsa,knn-nosuite,0.53125,0.4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
