dataset,num_and_cat,importance_gain_dtree,importance_gain_ablation,importance_gain_noproba,importance_gain_with_proba,importance_gain_shap,importance_gain_explan,importance_gain_lore,importance_gain_anchor
yeast,mlp-nosuite,0.14285714285714288,0.18592568846134505,0,0,0.1666666666666667,,0.14285714285714288,0.0
yeast,mlp-nosuite,0.19910414414065167,0.12638811561941843,0,0,0.14285714285714285,,0.17304236942393883,0.0
yeast,mlp-nosuite,0.12337958121552613,0.1925991164462428,0,0,0.19638163857324709,,0.19552708934873608,0.0
yeast,mlp-nosuite,0.16872206836484074,0.1299155447931726,0,0,0.17912333682268505,,0.17912333682268505,0.0
yeast,mlp-nosuite,0.14285714285714285,0.22859964698730137,0,0,0.14285714285714285,,0.1341566931299296,0.0
yeast,mlp-nosuite,0.14285714285714285,0.29495815914196843,0,0,0.21092960961409032,,0.21092960961409032,0.0
yeast,mlp-nosuite,0.18807401300395207,0.2241266563964793,0,0,0.1426648829812894,,0.1940183037653415,0.0
yeast,mlp-nosuite,0.18416254852702899,0.3148067221850626,0,0,0.14644034550678142,,0.1699953343730433,0.0
yeast,mlp-nosuite,0.19741386024772453,0.18367428617163106,0,0,0.16566741736927462,,0.15107438434792855,0.0
yeast,mlp-nosuite,0.19773769501067556,0.1434735960622927,0,0,0.18216014007670112,0.1075357505760104,0.2890877174176588,0.0
yeast,mlp-nosuite,0.1652649919781891,0.18705188224079722,0,0,0.22422524890440854,,0.18769829441024558,0.0
yeast,mlp-nosuite,0.2812946412330383,0.6552402739910569,0,0,0.168776784739823,,0.227275117169335,0.0
yeast,mlp-nosuite,0.17912470047593235,0.515669182339134,0,0,0.18649079934401155,,0.1700679389992769,0.0
yeast,mlp-nosuite,0.20728606101322639,0.299744466400643,0,0,0.12532288750279633,,0.16446048968727983,0.0
yeast,mlp-nosuite,0.17990841535053853,0.26093973331541837,0,0,0.22745375889964922,,0.12469045313319098,0.0
yeast,mlp-nosuite,0.1464559480698627,0.538778302034708,0,0,0.18567681347089438,,0.14137378528894246,0.0
yeast,mlp-nosuite,0.16666666666666666,0.39393477668826987,0,0,0.16044309020795902,,0.13752264874967918,0.0
yeast,mlp-nosuite,0.14285714285714288,0.19329233411625188,0,0,0.19329233411625188,,0.22431914309922163,0.0
yeast,mlp-nosuite,0.2691660527934362,0.6598560680022385,0,0,0.2621842134660728,,0.3932763201991092,0.0
yeast,mlp-nosuite,0.18050942068406728,0.2682168266046361,0,0,0.14285714285714285,,0.16262484409936345,0.0
yeast,mlp-nosuite,0.185787794428886,0.3195617967564203,0,0,0.15673908480984852,,0.17387469620070423,0.0
yeast,mlp-nosuite,0.14285714285714288,0.17589227408851635,0,0,0.14118971292790075,,0.18710968593515762,0.0
yeast,mlp-nosuite,0.2961935387793042,0.6865251007383948,0,0,0.17771612326758252,,0.17771612326758252,0.0
yeast,mlp-nosuite,0.18407694815133593,0.2095920768952946,0,0,0.16924918353307325,,0.16924918353307325,0.0
yeast,mlp-nosuite,0.16689383255840437,0.2947868591734899,0,0,0.16010415119714486,,0.18439967762267245,0.0
yeast,mlp-nosuite,0.16666666666666666,0.21618858511207378,0,0,0.18747765085349827,,0.18747765085349827,0.0
yeast,mlp-nosuite,0.21744348263402566,0.21744348263402566,0,0,0.16151669954206083,,0.22504897160465273,0.0
yeast,mlp-nosuite,0.14285714285714288,0.2974180886856102,0,0,0.19135047003768813,,0.17689526753959514,0.0
yeast,mlp-nosuite,0.27064264598769877,0.6858950508362358,0,0,0.24989988730478252,0.1654936618966634,0.3748498309571738,0.0
yeast,mlp-nosuite,0.1805220811431188,0.19289926572585872,0,0,0.14467444929439405,,0.14467444929439405,0.0
yeast,mlp-nosuite,0.2112999987017233,0.34976350085917896,0,0,0.1809432008634624,,0.12499999999999999,0.0
yeast,mlp-nosuite,0.14285714285714288,0.19300756944950856,0,0,0.14709069053958485,,0.14709069053958485,0.0
yeast,mlp-nosuite,0.2179273017992279,0.3604354147200041,0,0,0.2264095306267133,,0.18112762450137063,0.0
yeast,mlp-nosuite,0.14285714285714285,0.16149678194802433,0,0,0.16666666666666666,,0.14247032305394772,0.0
yeast,mlp-nosuite,0.1853210661440783,0.36963318780662857,0,0,0.19598917062644894,,0.21820261920405448,0.0
yeast,mlp-nosuite,0.1933299043570193,0.3806420066476347,0,0,0.18147799629672562,,0.16110825363084944,0.0
yeast,mlp-nosuite,0.19900103661436375,0.1524444327007572,0,0,0.16666666666666666,,0.18786240498367499,0.0
yeast,mlp-nosuite,0.14285714285714285,0.19446465743590757,0,0,0.1259223281055587,,0.15740291013194838,0.0
yeast,mlp-nosuite,0.14285714285714285,0.27024709585508755,0,0,0.1982912239361325,,0.158632979148906,0.0
yeast,mlp-nosuite,0.19178183987904654,0.16275894889037515,0,0,0.20837628364751032,,0.16666666666666666,0.0
yeast,mlp-nosuite,0.17641966815999738,0.23872610780733303,0,0,0.10567128229818672,,0.18036316180560494,0.0
yeast,mlp-nosuite,0.16666666666666666,0.32073968180955253,0,0,0.15937068033736876,,0.14285714285714285,0.0
yeast,mlp-nosuite,0.1561812767307418,0.27153577246369603,0,0,0.14416778076237496,,0.21530435607598628,0.0
yeast,mlp-nosuite,0.19033121607739592,0.16960354806941694,0,0,0.1827473601485706,,0.3889473056517344,0.0
yeast,mlp-nosuite,0.2090983930853047,0.2090983930853047,0,0,0.1848131151942217,,0.16666666666666666,0.0
yeast,mlp-nosuite,0.28775996167724344,0.40980392411799027,0,0,0.15476418346032397,,0.15136488051555674,0.0
yeast,mlp-nosuite,0.18946518120797115,0.6194001359768613,0,0,0.2993782984243433,,0.26505350358165186,0.0
yeast,mlp-nosuite,0.14285714285714285,0.18321204417842857,0,0,0.16666666666666666,,0.14285714285714285,0.0
yeast,mlp-nosuite,0.1849160553524912,0.2184775930243703,0,0,0.17857240725069487,,0.2043605782539826,0.0
yeast,mlp-nosuite,0.14285714285714285,0.26213772758408016,0,0,0.17278377948307216,,0.14677837673320185,0.0
yeast,mlp-nosuite,0.14285714285714288,0.18592568846134505,0,0,0.1666666666666667,,0.14285714285714288,0.0
yeast,mlp-nosuite,0.19910414414065167,0.12638811561941843,0,0,0.14285714285714285,,0.17304236942393883,0.0
yeast,mlp-nosuite,0.12337958121552613,0.1925991164462428,0,0,0.19638163857324709,,0.19552708934873608,0.0
yeast,mlp-nosuite,0.16872206836484074,0.1299155447931726,0,0,0.17912333682268505,,0.17912333682268505,0.0
yeast,mlp-nosuite,0.14285714285714285,0.22859964698730137,0,0,0.14285714285714285,,0.1341566931299296,0.0
yeast,mlp-nosuite,0.14285714285714285,0.29495815914196843,0,0,0.21092960961409032,,0.21092960961409032,0.0
yeast,mlp-nosuite,0.18807401300395207,0.2241266563964793,0,0,0.1426648829812894,,0.1940183037653415,0.0
yeast,mlp-nosuite,0.18416254852702899,0.3148067221850626,0,0,0.14644034550678142,,0.1699953343730433,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.36666739420412503,,0.36666739420412503,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.6478698769163255,0.0
rmftsa,mlp-nosuite,0.5,0.6801296133620999,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.6060067013002692,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.37621593152701654,,0.6237840684729835,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.2193244370697755,0.0
rmftsa,mlp-nosuite,0.5,0.9145084739754905,0,0,0.9145084739754905,,0.9145084739754905,0.0
rmftsa,mlp-nosuite,0.5,0.7660591661609953,0,0,0.7660591661609953,,0.7660591661609953,0.0
rmftsa,mlp-nosuite,0.5,0.7709107784044835,0,0,0.7709107784044835,,0.22908922159551648,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.6736274417931125,0.0
rmftsa,mlp-nosuite,0.5,0.9003149913092385,0,0,0.9003149913092385,,0.9003149913092385,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.4294154013039383,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.565471563500857,0,0,0.565471563500857,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.34846030341332823,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.33162081850269104,,0.5,0.0
rmftsa,mlp-nosuite,0.49999999999999994,0.8723117060015592,0,0,0.8723117060015592,,0.49999999999999994,0.0
rmftsa,mlp-nosuite,0.5,0.6139472501721934,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.2519912262344838,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.8464384388413053,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.721730391197648,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.7606456701931594,0.0
rmftsa,mlp-nosuite,0.5,0.06872371794773587,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5075914971217094,,0.49240850287829063,0.0
rmftsa,mlp-nosuite,0.5,0.23623474015933643,0,0,0.7637652598406636,,0.7637652598406636,0.0
rmftsa,mlp-nosuite,0.49999999999999994,0.8525780094520399,0,0,0.8525780094520399,,0.8525780094520399,0.0
rmftsa,mlp-nosuite,0.5,0.7709107784044835,0,0,0.7709107784044835,,0.22908922159551648,0.0
rmftsa,mlp-nosuite,0.5,0.36058454472372636,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.21665613014255758,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.49999999999999994,0.49999999999999994,0,0,0.8007979845570484,,0.49999999999999994,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.8725092684712494,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.2924954575732207,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.31404658272187386,,0.31404658272187386,0.0
rmftsa,mlp-nosuite,0.5,0.7289030689875177,0,0,0.5,,0.7289030689875177,0.0
rmftsa,mlp-nosuite,0.5,0.7396158762735152,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5947482798425281,0,0,0.5947482798425281,,0.5947482798425281,0.0
rmftsa,mlp-nosuite,0.49999999999999994,0.7565056926607541,0,0,0.7565056926607541,,0.49999999999999994,0.0
rmftsa,mlp-nosuite,0.5,0.518161821533209,0,0,0.518161821533209,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.8342765521355643,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,,0,0,0.5,,0.43080200945174835,0.0
rmftsa,mlp-nosuite,0.49999999999999994,0.7565056926607541,0,0,0.7565056926607541,,0.49999999999999994,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.5,0,0,0.5,,0.5,0.0
rmftsa,mlp-nosuite,0.5,0.7824907632241463,0,0,0.5,,0.5,0.0
yeast,mlp-nosuite,0.19741386024772453,0.18367428617163106,0,0,0.16566741736927462,,0.15107438434792855,0.0
yeast,mlp-nosuite,0.19773769501067556,0.1434735960622927,0,0,0.18216014007670112,0.1075357505760104,0.2890877174176588,0.0
