dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9994238566095532,6.0,3.0,0.0,0.0,4.0,7.0,3.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9998788135675419,1.0,1.0,0.0,0.0,2.0,8.0,3.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999998886643621,1.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.979219434406154,11.0,8.0,0.0,0.0,9.0,8.0,9.0,15.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999863454552058,9.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999982725638,2.0,2.0,0.0,0.0,2.0,6.0,2.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999955329004064,9.0,3.0,0.0,0.0,4.0,4.0,7.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9855467962876344,9.0,4.0,0.0,0.0,7.0,5.0,9.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999878752477442,5.0,3.0,0.0,0.0,3.0,3.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9990074624902006,9.0,4.0,0.0,0.0,4.0,4.0,10.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999526136156475,4.0,3.0,0.0,0.0,4.0,3.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9973756714807024,9.0,3.0,0.0,0.0,5.0,4.0,7.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999976429401484,5.0,2.0,0.0,0.0,2.0,4.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999833140041164,5.0,3.0,0.0,0.0,3.0,4.0,5.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999945716884735,1.0,1.0,0.0,0.0,1.0,4.0,2.0,9.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999997135485704,9.0,2.0,0.0,0.0,1.0,7.0,1.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999221327071664,1.0,1.0,0.0,0.0,3.0,1.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997040725984454,2.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9996201840798737,1.0,1.0,0.0,0.0,3.0,2.0,2.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999820233293152,4.0,3.0,0.0,0.0,3.0,5.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999998055096956,2.0,2.0,0.0,0.0,2.0,3.0,3.0,36.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.982208897112845,9.0,4.0,0.0,0.0,5.0,4.0,7.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999994924380252,5.0,3.0,0.0,0.0,3.0,4.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9998988185371146,6.0,3.0,0.0,0.0,4.0,7.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999965764863002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9994343184145327,6.0,3.0,0.0,0.0,3.0,8.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9958427975088554,9.0,3.0,0.0,0.0,5.0,4.0,8.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9998957849096739,5.0,3.0,0.0,0.0,4.0,5.0,6.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997046329663656,7.0,4.0,0.0,0.0,4.0,6.0,3.0,4.0
