dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
yeast,rfc-nosuite,0.6091644204851752,0.9,6.0,3.0,0.0,0.0,2.0,,1.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.44,5.0,3.0,0.0,0.0,5.0,,5.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.8,6.0,3.0,0.0,0.0,5.0,,4.0,4.0
yeast,rfc-nosuite,0.6091644204851752,0.69,6.0,5.0,0.0,0.0,4.0,,5.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.76,3.0,3.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.83,6.0,2.0,0.0,0.0,3.0,,2.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.4,6.0,4.0,0.0,0.0,5.0,,5.0,7.0
yeast,rfc-nosuite,0.6091644204851752,0.7,6.0,2.0,0.0,0.0,5.0,,5.0,6.0
yeast,rfc-nosuite,0.6091644204851752,0.52,4.0,3.0,0.0,0.0,6.0,,5.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.53,6.0,5.0,0.0,0.0,6.0,,5.0,7.0
yeast,rfc-nosuite,0.6091644204851752,0.76,6.0,2.0,0.0,0.0,3.0,,4.0,5.0
yeast,rfc-nosuite,0.6091644204851752,0.79,6.0,2.0,0.0,0.0,4.0,,2.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.84,6.0,4.0,0.0,0.0,4.0,,3.0,7.0
yeast,rfc-nosuite,0.6091644204851752,0.7,6.0,3.0,0.0,0.0,3.0,,4.0,2.0
yeast,rfc-nosuite,0.6091644204851752,0.47,6.0,3.0,0.0,0.0,4.0,,4.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.81,3.0,2.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.51,5.0,2.0,0.0,0.0,3.0,,3.0,4.0
yeast,rfc-nosuite,0.6091644204851752,0.48,5.0,4.0,0.0,0.0,3.0,,4.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.73,5.0,5.0,0.0,0.0,5.0,,4.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.59,4.0,3.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.64,6.0,4.0,0.0,0.0,4.0,,4.0,5.0
yeast,rfc-nosuite,0.6091644204851752,0.78,6.0,3.0,0.0,0.0,3.0,,2.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.77,6.0,4.0,0.0,0.0,5.0,,5.0,2.0
yeast,rfc-nosuite,0.6091644204851752,0.73,6.0,3.0,0.0,0.0,5.0,,4.0,5.0
yeast,rfc-nosuite,0.6091644204851752,0.42,6.0,6.0,0.0,0.0,5.0,,6.0,6.0
yeast,rfc-nosuite,0.6091644204851752,0.52,5.0,3.0,0.0,0.0,5.0,,5.0,6.0
yeast,rfc-nosuite,0.6091644204851752,0.49,5.0,4.0,0.0,0.0,3.0,,6.0,8.0
yeast,rfc-nosuite,0.6091644204851752,0.5,5.0,4.0,0.0,0.0,7.0,,6.0,3.0
yeast,rfc-nosuite,0.6091644204851752,0.66,5.0,4.0,0.0,0.0,3.0,,4.0,2.0
yeast,rfc-nosuite,0.6091644204851752,0.89,5.0,4.0,0.0,0.0,4.0,,6.0,5.0
yeast,rfc-nosuite,0.6091644204851752,0.64,6.0,5.0,0.0,0.0,4.0,,5.0,5.0
