@relation 'aware-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-H-weka.filters.unsupervised.attribute.Remove-R2'

@attribute network_traffic {None,Medium,Low,High}
@attribute location {Work,Commuting,Home}
@attribute activity {Still,Walking,Vehicle}
@attribute time {Evening,Night,Morning,Day,Afternoon}

@data
None,Work,Still,Afternoon
None,Work,Still,Afternoon
None,Work,Still,Afternoon
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Afternoon
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Evening
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Night
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Morning
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
None,Home,Still,Day
