dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,0.8970588235294118,,1.0,0.0,0.0,1.0,1.0,0.8970588235294118,0.0,1.0,0.0,0.0,1.0,1.0,0.8970588235294118,0.0,1.0,0.0,0.0,1.0,1.0,0.8970588235294118,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,0.9734513274336283,0.0,0.0,0.8333333333333334,0.944,0.9692982456140351,0.4393939393939394,0.9734513274336283,0.0,0.0,0.8333333333333334,0.944,0.9692982456140351,0.4393939393939394,0.9734513274336283,0.0,0.0,0.8333333333333334,0.944,0.9692982456140351,0.4393939393939394,0.9734513274336283,0.0,0.0,0.8333333333333334,0.944,0.9692982456140351,0.4393939393939394
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,0.8433048433048433,0.0,0.0,0.944,0.9734513274336283,0.9692982456140351,,0.8433048433048433,0.0,0.0,0.944,0.9734513274336283,0.9692982456140351,0.0,0.8433048433048433,0.0,0.0,0.944,0.9734513274336283,0.9692982456140351,0.0,0.8433048433048433,0.0,0.0,0.944,0.9734513274336283,0.9692982456140351,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,0.9666666666666667,,1.0,0.0,0.0,1.0,1.0,0.9666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,0.9666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,0.9666666666666667,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,1.0,0.0,0.0,1.0,1.0,1.0,0.7157894736842105,1.0,0.0,0.0,1.0,1.0,1.0,0.7157894736842105,1.0,0.0,0.0,1.0,1.0,1.0,0.7157894736842105,1.0,0.0,0.0,1.0,1.0,1.0,0.7157894736842105
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0,0.5946601941747572,1.0,,1.0,0.0,0.0,1.0,0.5946601941747572,1.0,0.0,1.0,0.0,0.0,1.0,0.5946601941747572,1.0,0.0,1.0,0.0,0.0,1.0,0.5946601941747572,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,0.9159663865546218,0.5574614065180102,1.0,,1.0,0.0,0.0,0.9159663865546218,0.5574614065180102,1.0,0.0,1.0,0.0,0.0,0.9159663865546218,0.5574614065180102,1.0,0.0,1.0,0.0,0.0,0.9159663865546218,0.5574614065180102,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,0.9931506849315068,,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,0.9931506849315068,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,0.9931506849315068,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,1.0,0.9931506849315068,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0,1.0,0.0,0.0,1.0,0.7489539748953975,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,0.7489539748953975,0.0,0.0,1.0,1.0,0.9159663865546218,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.944,0.0,0.0,0.944,0.944,0.944,0.6482142857142857,0.944,0.0,0.0,0.944,0.944,0.944,0.6482142857142857,0.944,0.0,0.0,0.944,0.944,0.944,0.6482142857142857,0.944,0.0,0.0,0.944,0.944,0.944,0.6482142857142857
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.8148148148148148,0.0,0.0,1.0,0.9375,1.0,,0.8148148148148148,0.0,0.0,1.0,0.9375,1.0,0.0,0.8148148148148148,0.0,0.0,1.0,0.9375,1.0,0.0,0.8148148148148148,0.0,0.0,1.0,0.9375,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,0.9931506849315068,,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0,0.944,0.8814102564102564,,1.0,0.0,0.0,1.0,0.944,0.8814102564102564,0.0,1.0,0.0,0.0,1.0,0.944,0.8814102564102564,0.0,1.0,0.0,0.0,1.0,0.944,0.8814102564102565,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,0.5,0.0,0.0,0.9,0.5,1.0,,0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.5,0.0,0.0,0.9,0.5,1.0,0.0,0.5,0.0,0.0,0.9,0.5,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,0.944,0.0,0.0,0.8333333333333334,0.944,0.944,,0.944,0.0,0.0,0.8333333333333334,0.944,0.944,0.0,0.944,0.0,0.0,0.8333333333333334,0.944,0.944,0.0,0.944,0.0,0.0,0.8333333333333334,0.944,0.944,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.6,0.6129032258064516,0.0,0.0,0.8541666666666666,0.6764705882352942,0.8695652173913043,,0.6129032258064516,0.0,0.0,0.8541666666666666,0.6764705882352942,0.8695652173913043,0.0,0.6129032258064516,0.0,0.0,0.8541666666666666,0.6764705882352942,0.8695652173913043,0.0,0.6129032258064516,0.0,0.0,0.8541666666666666,0.6764705882352942,0.8695652173913043,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.86,0.9931506849315068,0.0,0.0,0.9931506849315068,0.91324200913242,0.9159663865546218,,0.9931506849315068,0.0,0.0,0.9931506849315068,0.91324200913242,0.9159663865546218,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.91324200913242,0.9159663865546218,0.0,0.9931506849315068,0.0,0.0,0.9931506849315068,0.91324200913242,0.9159663865546218,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,0.944,0.0,0.0,0.9859154929577465,0.8433048433048433,0.9348659003831418,0.975,0.944,0.0,0.0,0.9859154929577465,0.8433048433048433,0.9348659003831418,0.975,0.944,0.0,0.0,0.9859154929577465,0.8433048433048433,0.9348659003831418,0.975,0.944,0.0,0.0,0.9859154929577465,0.8433048433048433,0.9348659003831418,0.975
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,0.9141630901287554,1.0,,1.0,0.0,0.0,1.0,0.9141630901287554,1.0,0.0,1.0,0.0,0.0,1.0,0.9141630901287554,1.0,0.0,1.0,0.0,0.0,1.0,0.9141630901287554,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.944,0.0,0.0,0.9859154929577465,0.9734513274336283,0.944,0.975,0.944,0.0,0.0,0.9859154929577465,0.9734513274336283,0.944,0.975,0.944,0.0,0.0,0.9859154929577465,0.9734513274336283,0.944,0.975,0.944,0.0,0.0,0.9859154929577465,0.9734513274336283,0.944,0.975
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,1.0,0.0,0.0,1.0,0.9383259911894273,1.0,,1.0,0.0,0.0,1.0,0.9383259911894273,1.0,0.0,1.0,0.0,0.0,1.0,0.9383259911894273,1.0,0.0,1.0,0.0,0.0,1.0,0.9383259911894273,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.944,0.0,0.0,0.8333333333333334,0.944,0.8932926829268293,0.7157894736842105,0.944,0.0,0.0,0.8333333333333334,0.944,0.8932926829268293,0.7157894736842105,0.944,0.0,0.0,0.8333333333333334,0.944,0.8932926829268293,0.7157894736842105,0.944,0.0,0.0,0.8333333333333334,0.944,0.8932926829268293,0.7157894736842105
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,0.9734513274336283,0.0,0.0,0.9734513274336283,0.944,0.944,,0.9734513274336283,0.0,0.0,0.9734513274336283,0.944,0.944,0.0,0.9734513274336283,0.0,0.0,0.9734513274336283,0.944,0.944,0.0,0.9734513274336283,0.0,0.0,0.9734513274336283,0.944,0.944,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0,1.0,0.0,0.0,1.0,1.0,0.9159663865546218,0.0
