dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
yeast,rfc-nosuite,0.6226415094339622,0.51,0.013477088948787063,0.0,0.0,0.0026954177897574125,,0.03504043126684636,1.0
yeast,rfc-nosuite,0.6226415094339622,0.78,0.03504043126684636,0.0,0.0,0.02425876010781671,,0.1725067385444744,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.008086253369272238,0.0,0.0,0.04582210242587601,,0.16172506738544473,1.0
yeast,rfc-nosuite,0.6226415094339622,0.51,0.029649595687331536,0.0,0.0,0.02425876010781671,,0.19137466307277629,1.0
yeast,rfc-nosuite,0.6226415094339622,0.75,0.0431266846361186,0.0,0.0,0.0431266846361186,,0.06199460916442048,1.0
yeast,rfc-nosuite,0.6226415094339622,0.32,0.013477088948787063,0.0,0.0,0.0026954177897574125,,0.03773584905660377,1.0
yeast,rfc-nosuite,0.6226415094339622,0.37,0.02425876010781671,0.0,0.0,0.0215633423180593,,0.03773584905660377,1.0
yeast,rfc-nosuite,0.6226415094339622,0.63,0.05660377358490566,0.0,0.0,0.07816711590296496,,0.1752021563342318,1.0
yeast,rfc-nosuite,0.6226415094339622,0.45,0.05929919137466307,0.0,0.0,0.0889487870619946,,0.08355795148247978,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.0215633423180593,0.0,0.0,0.005390835579514825,,0.008086253369272238,1.0
yeast,rfc-nosuite,0.6226415094339622,0.92,0.029649595687331536,0.0,0.0,0.0215633423180593,,0.14285714285714285,1.0
yeast,rfc-nosuite,0.6226415094339622,0.73,0.029649595687331536,0.0,0.0,0.03773584905660377,,0.25067385444743934,1.0
yeast,rfc-nosuite,0.6226415094339622,0.44,0.03773584905660377,0.0,0.0,0.01078167115902965,,0.22911051212938005,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.0673854447439353,0.0,0.0,0.02425876010781671,,0.12398921832884097,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.07547169811320754,0.0,0.0,0.14555256064690028,,0.15633423180592992,1.0
yeast,rfc-nosuite,0.6226415094339622,0.47,0.013477088948787063,0.0,0.0,0.01078167115902965,,0.25336927223719674,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.008086253369272238,0.0,0.0,0.018867924528301886,,0.013477088948787063,1.0
yeast,rfc-nosuite,0.6226415094339622,0.76,0.05929919137466307,0.0,0.0,0.016172506738544475,,0.20215633423180593,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.40161725067385445,0.0,0.0,0.0215633423180593,,0.11859838274932614,1.0
yeast,rfc-nosuite,0.6226415094339622,0.41,0.07547169811320754,0.0,0.0,0.029649595687331536,,0.14824797843665768,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.01078167115902965,0.0,0.0,0.1078167115902965,,0.09433962264150944,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,0.07277628032345014,0.0,0.0,0.029649595687331536,,0.0889487870619946,1.0
yeast,rfc-nosuite,0.6226415094339622,0.85,0.14285714285714285,0.0,0.0,0.03234501347708895,,0.12398921832884097,1.0
yeast,rfc-nosuite,0.6226415094339622,0.43,0.02425876010781671,0.0,0.0,0.03234501347708895,,0.05121293800539083,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,0.0215633423180593,0.0,0.0,0.03504043126684636,,0.1725067385444744,1.0
yeast,rfc-nosuite,0.6226415094339622,0.7,0.029649595687331536,0.0,0.0,0.03234501347708895,,0.0862533692722372,1.0
yeast,rfc-nosuite,0.6226415094339622,0.74,0.11590296495956873,0.0,0.0,0.018867924528301886,,0.14555256064690028,1.0
yeast,rfc-nosuite,0.6226415094339622,0.8,0.08086253369272237,0.0,0.0,0.02425876010781671,,0.05390835579514825,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.04582210242587601,0.0,0.0,0.005390835579514825,,0.0026954177897574125,1.0
yeast,rfc-nosuite,0.6226415094339622,0.67,0.0215633423180593,0.0,0.0,0.07008086253369272,,0.09164420485175202,1.0
yeast,rfc-nosuite,0.6226415094339622,0.47,0.026954177897574125,0.0,0.0,0.0026954177897574125,,0.03234501347708895,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.018867924528301886,0.0,0.0,0.02425876010781671,,0.029649595687331536,1.0
yeast,rfc-nosuite,0.6226415094339622,0.72,0.07547169811320754,0.0,0.0,0.05390835579514825,,0.33962264150943394,1.0
yeast,rfc-nosuite,0.6226415094339622,0.86,0.09164420485175202,0.0,0.0,0.01078167115902965,,0.09703504043126684,1.0
yeast,rfc-nosuite,0.6226415094339622,0.86,0.03234501347708895,0.0,0.0,0.0215633423180593,,0.18059299191374664,1.0
yeast,rfc-nosuite,0.6226415094339622,0.59,0.06199460916442048,0.0,0.0,0.03773584905660377,,0.07547169811320754,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.0215633423180593,0.0,0.0,0.005390835579514825,,0.013477088948787063,1.0
yeast,rfc-nosuite,0.6226415094339622,0.72,0.1105121293800539,0.0,0.0,0.0215633423180593,,0.14285714285714285,1.0
yeast,rfc-nosuite,0.6226415094339622,0.48,0.03773584905660377,0.0,0.0,0.005390835579514825,,0.15633423180592992,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.01078167115902965,0.0,0.0,0.06199460916442048,,0.07816711590296496,1.0
yeast,rfc-nosuite,0.6226415094339622,0.73,0.013477088948787063,0.0,0.0,0.01078167115902965,,0.018867924528301886,1.0
yeast,rfc-nosuite,0.6226415094339622,0.6,0.0215633423180593,0.0,0.0,0.03234501347708895,,0.029649595687331536,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.016172506738544475,0.0,0.0,0.05121293800539083,,0.1940700808625337,1.0
yeast,rfc-nosuite,0.6226415094339622,0.77,0.04043126684636118,0.0,0.0,0.01078167115902965,,0.16172506738544473,1.0
yeast,rfc-nosuite,0.6226415094339622,0.74,0.008086253369272238,0.0,0.0,0.01078167115902965,,0.1778975741239892,1.0
yeast,rfc-nosuite,0.6226415094339622,0.9,0.07547169811320754,0.0,0.0,0.05660377358490566,,0.11859838274932614,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.005390835579514825,0.0,0.0,0.029649595687331536,,0.02425876010781671,1.0
yeast,rfc-nosuite,0.6226415094339622,0.54,0.04851752021563342,0.0,0.0,0.05390835579514825,,0.11859838274932614,1.0
yeast,rfc-nosuite,0.6226415094339622,0.4,0.018867924528301886,0.0,0.0,0.018867924528301886,,0.22641509433962265,1.0
yeast,rfc-nosuite,0.6226415094339622,0.52,0.013477088948787063,0.0,0.0,0.07008086253369272,,0.07008086253369272,1.0
yeast,rfc-nosuite,0.6226415094339622,0.51,0.013477088948787063,0.0,0.0,0.0026954177897574125,,0.03504043126684636,1.0
yeast,rfc-nosuite,0.6226415094339622,0.78,0.03504043126684636,0.0,0.0,0.02425876010781671,,0.1725067385444744,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.008086253369272238,0.0,0.0,0.04582210242587601,,0.16172506738544473,1.0
yeast,rfc-nosuite,0.6226415094339622,0.51,0.029649595687331536,0.0,0.0,0.02425876010781671,,0.19137466307277629,1.0
yeast,rfc-nosuite,0.6226415094339622,0.75,0.0431266846361186,0.0,0.0,0.0431266846361186,,0.06199460916442048,1.0
yeast,rfc-nosuite,0.6226415094339622,0.32,0.013477088948787063,0.0,0.0,0.0026954177897574125,,0.03773584905660377,1.0
yeast,rfc-nosuite,0.6226415094339622,0.37,0.02425876010781671,0.0,0.0,0.0215633423180593,,0.03773584905660377,1.0
yeast,rfc-nosuite,0.6226415094339622,0.63,0.05660377358490566,0.0,0.0,0.07816711590296496,,0.1752021563342318,1.0
yeast,rfc-nosuite,0.6226415094339622,0.45,0.05929919137466307,0.0,0.0,0.0889487870619946,,0.08355795148247978,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.0215633423180593,0.0,0.0,0.005390835579514825,,0.008086253369272238,1.0
yeast,rfc-nosuite,0.6226415094339622,0.92,0.029649595687331536,0.0,0.0,0.0215633423180593,,0.14285714285714285,1.0
yeast,rfc-nosuite,0.6226415094339622,0.73,0.029649595687331536,0.0,0.0,0.03773584905660377,,0.25067385444743934,1.0
yeast,rfc-nosuite,0.6226415094339622,0.44,0.03773584905660377,0.0,0.0,0.01078167115902965,,0.22911051212938005,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.0673854447439353,0.0,0.0,0.02425876010781671,,0.12398921832884097,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.07547169811320754,0.0,0.0,0.14555256064690028,,0.15633423180592992,1.0
yeast,rfc-nosuite,0.6226415094339622,0.47,0.013477088948787063,0.0,0.0,0.01078167115902965,,0.25336927223719674,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.008086253369272238,0.0,0.0,0.018867924528301886,,0.013477088948787063,1.0
yeast,rfc-nosuite,0.6226415094339622,0.76,0.05929919137466307,0.0,0.0,0.016172506738544475,,0.20215633423180593,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.40161725067385445,0.0,0.0,0.0215633423180593,,0.11859838274932614,1.0
yeast,rfc-nosuite,0.6226415094339622,0.41,0.07547169811320754,0.0,0.0,0.029649595687331536,,0.14824797843665768,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.01078167115902965,0.0,0.0,0.1078167115902965,,0.09433962264150944,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,0.07277628032345014,0.0,0.0,0.029649595687331536,,0.0889487870619946,1.0
yeast,rfc-nosuite,0.6226415094339622,0.85,0.14285714285714285,0.0,0.0,0.03234501347708895,,0.12398921832884097,1.0
