dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
yeast,rfc-nosuite,0.6226415094339622,0.47,0.05405405405405406,0.0,0.0,0.02702702702702703,,0.5405405405405406,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.05405405405405406,0.0,0.0,0.13513513513513514,,0.08108108108108109,1.0
yeast,rfc-nosuite,0.6226415094339622,0.76,0.13513513513513514,0.0,0.0,0.10810810810810811,,0.5675675675675675,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.4864864864864865,0.0,0.0,0.21621621621621623,,0.4864864864864865,1.0
yeast,rfc-nosuite,0.6226415094339622,0.41,0.1891891891891892,0.0,0.0,0.13513513513513514,,0.4594594594594595,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.05405405405405406,0.0,0.0,0.3783783783783784,,0.32432432432432434,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,0.4864864864864865,0.0,0.0,0.1891891891891892,,0.4864864864864865,1.0
yeast,rfc-nosuite,0.6226415094339622,0.85,0.35135135135135137,0.0,0.0,0.24324324324324326,,0.918918918918919,1.0
yeast,rfc-nosuite,0.6226415094339622,0.43,0.05405405405405406,0.0,0.0,0.21621621621621623,,0.35135135135135137,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,0.02702702702702703,0.0,0.0,0.24324324324324326,,0.8918918918918919,1.0
yeast,rfc-nosuite,0.6226415094339622,0.7,0.21621621621621623,0.0,0.0,0.10810810810810811,,0.3783783783783784,1.0
yeast,rfc-nosuite,0.6226415094339622,0.74,0.40540540540540543,0.0,0.0,0.05405405405405406,,0.4864864864864865,1.0
yeast,rfc-nosuite,0.6226415094339622,0.8,0.4594594594594595,0.0,0.0,0.16216216216216217,,0.32432432432432434,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.13513513513513514,0.0,0.0,0.02702702702702703,,0.02702702702702703,1.0
yeast,rfc-nosuite,0.6226415094339622,0.67,0.10810810810810811,0.0,0.0,0.3783783783783784,,0.3783783783783784,1.0
yeast,rfc-nosuite,0.6226415094339622,0.47,0.08108108108108109,0.0,0.0,0.02702702702702703,,0.1891891891891892,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.13513513513513514,0.0,0.0,0.16216216216216217,,0.1891891891891892,1.0
yeast,rfc-nosuite,0.6226415094339622,0.72,0.2702702702702703,0.0,0.0,0.21621621621621623,,0.918918918918919,1.0
yeast,rfc-nosuite,0.6226415094339622,0.86,0.7027027027027027,0.0,0.0,0.05405405405405406,,0.7027027027027027,1.0
yeast,rfc-nosuite,0.6226415094339622,0.86,0.2972972972972973,0.0,0.0,0.10810810810810811,,1.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.59,0.13513513513513514,0.0,0.0,0.16216216216216217,,0.21621621621621623,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.08108108108108109,0.0,0.0,0.05405405405405406,,0.08108108108108109,1.0
yeast,rfc-nosuite,0.6226415094339622,0.72,0.35135135135135137,0.0,0.0,0.05405405405405406,,0.5675675675675675,1.0
yeast,rfc-nosuite,0.6226415094339622,0.48,0.08108108108108109,0.0,0.0,0.05405405405405406,,0.6216216216216216,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.05405405405405406,0.0,0.0,0.2972972972972973,,0.3783783783783784,1.0
yeast,rfc-nosuite,0.6226415094339622,0.73,0.10810810810810811,0.0,0.0,0.10810810810810811,,0.13513513513513514,1.0
yeast,rfc-nosuite,0.6226415094339622,0.6,0.21621621621621623,0.0,0.0,0.2972972972972973,,0.2702702702702703,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.16216216216216217,0.0,0.0,0.16216216216216217,,0.6756756756756757,1.0
yeast,rfc-nosuite,0.6226415094339622,0.77,0.24324324324324326,0.0,0.0,0.10810810810810811,,0.6486486486486487,1.0
yeast,rfc-nosuite,0.6226415094339622,0.74,0.05405405405405406,0.0,0.0,0.10810810810810811,,0.21621621621621623,1.0
yeast,rfc-nosuite,0.6226415094339622,0.9,0.43243243243243246,0.0,0.0,0.3783783783783784,,0.6216216216216216,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.05405405405405406,0.0,0.0,0.10810810810810811,,0.10810810810810811,1.0
yeast,rfc-nosuite,0.6226415094339622,0.54,0.1891891891891892,0.0,0.0,0.16216216216216217,,0.2972972972972973,1.0
yeast,rfc-nosuite,0.6226415094339622,0.4,0.08108108108108109,0.0,0.0,0.05405405405405406,,0.35135135135135137,1.0
yeast,rfc-nosuite,0.6226415094339622,0.52,0.10810810810810811,0.0,0.0,0.2702702702702703,,0.2702702702702703,1.0
yeast,rfc-nosuite,0.6226415094339622,0.51,0.05405405405405406,0.0,0.0,0.02702702702702703,,0.13513513513513514,1.0
yeast,rfc-nosuite,0.6226415094339622,0.78,0.10810810810810811,0.0,0.0,0.10810810810810811,,0.6216216216216216,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.05405405405405406,0.0,0.0,0.1891891891891892,,0.5675675675675675,1.0
yeast,rfc-nosuite,0.6226415094339622,0.51,0.1891891891891892,0.0,0.0,0.21621621621621623,,0.5675675675675675,1.0
yeast,rfc-nosuite,0.6226415094339622,0.75,0.16216216216216217,0.0,0.0,0.16216216216216217,,0.2702702702702703,1.0
yeast,rfc-nosuite,0.6226415094339622,0.32,0.13513513513513514,0.0,0.0,0.02702702702702703,,0.21621621621621623,1.0
yeast,rfc-nosuite,0.6226415094339622,0.37,0.08108108108108109,0.0,0.0,0.16216216216216217,,0.1891891891891892,1.0
yeast,rfc-nosuite,0.6226415094339622,0.63,0.24324324324324326,0.0,0.0,0.3783783783783784,,0.8378378378378378,1.0
yeast,rfc-nosuite,0.6226415094339622,0.45,0.35135135135135137,0.0,0.0,0.43243243243243246,,0.4594594594594595,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,0.21621621621621623,0.0,0.0,0.02702702702702703,,0.08108108108108109,1.0
yeast,rfc-nosuite,0.6226415094339622,0.92,0.24324324324324326,0.0,0.0,0.16216216216216217,,0.7297297297297297,1.0
yeast,rfc-nosuite,0.6226415094339622,0.73,0.16216216216216217,0.0,0.0,0.24324324324324326,,0.7837837837837838,1.0
yeast,rfc-nosuite,0.6226415094339622,0.44,0.16216216216216217,0.0,0.0,0.02702702702702703,,0.6756756756756757,1.0
yeast,rfc-nosuite,0.6226415094339622,0.64,0.24324324324324326,0.0,0.0,0.10810810810810811,,0.4594594594594595,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.2702702702702703,0.0,0.0,0.2702702702702703,,0.3783783783783784,1.0
