dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
yeast,rfc-nosuite,0.6226415094339622,0.67,6.0,2.0,0.0,0.0,4.0,,4.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.47,4.0,3.0,0.0,0.0,6.0,,6.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.57,6.0,5.0,0.0,0.0,6.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.72,6.0,2.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.86,6.0,2.0,0.0,0.0,4.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.86,6.0,4.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.59,6.0,3.0,0.0,0.0,4.0,,4.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.55,6.0,3.0,0.0,0.0,4.0,,6.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.72,3.0,2.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.48,5.0,2.0,0.0,0.0,5.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.56,5.0,4.0,0.0,0.0,4.0,,3.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.73,5.0,5.0,0.0,0.0,4.0,,4.0,7.0
yeast,rfc-nosuite,0.6226415094339622,0.6,4.0,3.0,0.0,0.0,3.0,,3.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.64,6.0,4.0,0.0,0.0,4.0,,4.0,5.0
yeast,rfc-nosuite,0.6226415094339622,0.77,6.0,3.0,0.0,0.0,3.0,,2.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.74,6.0,4.0,0.0,0.0,5.0,,4.0,2.0
yeast,rfc-nosuite,0.6226415094339622,0.9,6.0,3.0,0.0,0.0,4.0,,4.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.42,6.0,6.0,0.0,0.0,4.0,,5.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.54,5.0,3.0,0.0,0.0,4.0,,4.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.4,5.0,4.0,0.0,0.0,3.0,,4.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.52,5.0,4.0,0.0,0.0,5.0,,5.0,8.0
yeast,rfc-nosuite,0.6226415094339622,0.51,5.0,4.0,0.0,0.0,4.0,,4.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.78,5.0,4.0,0.0,0.0,5.0,,6.0,7.0
yeast,rfc-nosuite,0.6226415094339622,0.64,6.0,5.0,0.0,0.0,3.0,,5.0,4.0
yeast,rfc-nosuite,0.6226415094339622,0.51,6.0,4.0,0.0,0.0,4.0,,5.0,6.0
yeast,rfc-nosuite,0.6226415094339622,0.75,4.0,2.0,0.0,0.0,3.0,,5.0,3.0
yeast,rfc-nosuite,0.6226415094339622,0.32,6.0,5.0,0.0,0.0,6.0,,5.0,5.0
